COUNTY,Year,Mean_AQI
ALAMEDA,2020,57.16120218579235
ALAMEDA,2021,53.347945205479455
ALAMEDA,2022,49.945205479452056
ALAMEDA,2023,50.47397260273973
ALAMEDA,2024,47.53825136612022
AMADOR,2020,38.45403899721448
AMADOR,2021,39.96986301369863
AMADOR,2022,36.967032967032964
AMADOR,2023,36.666666666666664
AMADOR,2024,43.910863509749305
BUTTE,2020,65.65573770491804
BUTTE,2021,60.87397260273973
BUTTE,2022,52.895890410958906
BUTTE,2023,51.47671232876712
BUTTE,2024,49.76502732240437
CALAVERAS,2020,54.68956043956044
CALAVERAS,2021,50.87637362637363
CALAVERAS,2022,42.07967032967033
CALAVERAS,2023,41.47123287671233
CALAVERAS,2024,46.55431754874652
COLUSA,2020,55.4344262295082
COLUSA,2021,57.013698630136986
COLUSA,2022,45.10468319559229
COLUSA,2023,52.54520547945206
COLUSA,2024,53.10655737704918
CONTRA COSTA,2020,54.177595628415304
CONTRA COSTA,2021,50.4
CONTRA COSTA,2022,50.89041095890411
CONTRA COSTA,2023,50.48219178082192
CONTRA COSTA,2024,46.22160664819945
DEL NORTE,2020,43.32876712328767
DEL NORTE,2021,32.42724458204334
DEL NORTE,2022,29.898255813953487
DEL NORTE,2023,35.8140243902439
DEL NORTE,2024,32.5121107266436
EL DORADO,2020,51.58469945355191
EL DORADO,2021,53.26027397260274
EL DORADO,2022,48.6958904109589
EL DORADO,2023,47.28493150684932
EL DORADO,2024,48.150273224043715
FRESNO,2020,87.16120218579235
FRESNO,2021,79.58904109589041
FRESNO,2022,75.96164383561644
FRESNO,2023,70.93972602739726
FRESNO,2024,76.38524590163935
GLENN,2020,57.14010989010989
GLENN,2021,47.778082191780825
GLENN,2022,43.99166666666667
GLENN,2023,43.65289256198347
GLENN,2024,40.756830601092894
HUMBOLDT,2020,32.87158469945355
HUMBOLDT,2021,29.78904109589041
HUMBOLDT,2022,26.92054794520548
HUMBOLDT,2023,41.583561643835615
HUMBOLDT,2024,40.45355191256831
IMPERIAL,2020,65.09836065573771
IMPERIAL,2021,67.62739726027397
IMPERIAL,2022,76.95342465753424
IMPERIAL,2023,72.47397260273972
IMPERIAL,2024,70.93989071038251
INYO,2020,78.4153005464481
INYO,2021,72.98630136986301
INYO,2022,75.68493150684931
INYO,2023,72.7013698630137
INYO,2024,73.81693989071039
KERN,2020,88.65300546448087
KERN,2021,91.21917808219177
KERN,2022,87.63287671232877
KERN,2023,76.18356164383562
KERN,2024,80.84972677595628
KINGS,2020,77.89617486338798
KINGS,2021,72.32876712328768
KINGS,2022,72.8958904109589
KINGS,2023,62.15068493150685
KINGS,2024,65.99453551912568
LAKE,2020,32.68376068376068
LAKE,2021,33.193820224719104
LAKE,2022,33.03030303030303
LAKE,2023,31.694214876033058
LAKE,2024,32.24242424242424
LOS ANGELES,2020,99.12295081967213
LOS ANGELES,2021,88.78356164383561
LOS ANGELES,2022,85.6027397260274
LOS ANGELES,2023,83.21917808219177
LOS ANGELES,2024,94.47814207650273
MADERA,2020,71.51092896174863
MADERA,2021,65.59452054794521
MADERA,2022,59.06849315068493
MADERA,2023,55.56712328767123
MADERA,2024,58.44535519125683
MARIN,2020,42.330601092896174
MARIN,2021,40.81095890410959
MARIN,2022,39.47945205479452
MARIN,2023,36.06060606060606
MARIN,2024,29.77310924369748
MARIPOSA,2020,70.85519125683061
MARIPOSA,2021,60.323287671232876
MARIPOSA,2022,60.47397260273973
MARIPOSA,2023,55.175342465753424
MARIPOSA,2024,50.78415300546448
MENDOCINO,2020,52.10109289617486
MENDOCINO,2021,49.42191780821918
MENDOCINO,2022,53.54794520547945
MENDOCINO,2023,53.6986301369863
MENDOCINO,2024,43.48087431693989
MERCED,2020,64.08196721311475
MERCED,2021,62.41917808219178
MERCED,2022,59.25753424657534
MERCED,2023,56.4986301369863
MERCED,2024,60.81147540983606
MONO,2020,113.52732240437159
MONO,2021,50.2967032967033
MONO,2022,119.53150684931506
MONO,2023,39.02191780821918
MONO,2024,23.005464480874316
MONTEREY,2020,47.549180327868854
MONTEREY,2021,43.11232876712329
MONTEREY,2022,40.4027397260274
MONTEREY,2023,43.487671232876714
MONTEREY,2024,41.18032786885246
NAPA,2020,46.797260273972604
NAPA,2021,42.68571428571428
NEVADA,2020,56.797814207650276
NEVADA,2021,64.18356164383562
NEVADA,2022,59.11232876712329
NEVADA,2023,40.84022038567493
NEVADA,2024,35.83287671232877
ORANGE,2020,65.03825136612022
ORANGE,2021,59.50410958904109
ORANGE,2022,54.54246575342466
ORANGE,2023,54.221917808219175
ORANGE,2024,57.90983606557377
PLACER,2020,68.14754098360656
PLACER,2021,73.32602739726028
PLACER,2022,63.087671232876716
PLACER,2023,56.68767123287671
PLACER,2024,57.677595628415304
PLUMAS,2020,73.24444444444444
PLUMAS,2021,89.53150684931506
PLUMAS,2022,58.278551532033426
PLUMAS,2023,50.0958904109589
PLUMAS,2024,52.14754098360656
RIVERSIDE,2020,98.12021857923497
RIVERSIDE,2021,96.43013698630136
RIVERSIDE,2022,103.66849315068494
RIVERSIDE,2023,93.56986301369864
RIVERSIDE,2024,98.96174863387978
SACRAMENTO,2020,65.0846994535519
SACRAMENTO,2021,64.11780821917809
SACRAMENTO,2022,59.895890410958906
SACRAMENTO,2023,55.66027397260274
SACRAMENTO,2024,54.677595628415304
SAN BENITO,2020,47.92896174863388
SAN BENITO,2021,43.52876712328767
SAN BENITO,2022,43.68493150684932
SAN BENITO,2023,42.06301369863014
SAN BENITO,2024,44.90710382513661
SAN BERNARDINO,2020,107.69125683060109
SAN BERNARDINO,2021,102.78630136986301
SAN BERNARDINO,2022,96.02739726027397
SAN BERNARDINO,2023,89.87945205479453
SAN BERNARDINO,2024,103.33333333333333
SAN DIEGO,2020,78.15300546448087
SAN DIEGO,2021,68.25753424657535
SAN DIEGO,2022,68.58356164383562
SAN DIEGO,2023,71.0
SAN DIEGO,2024,75.25136612021858
SAN FRANCISCO,2020,47.44535519125683
SAN FRANCISCO,2021,41.64931506849315
SAN FRANCISCO,2022,39.027472527472526
SAN FRANCISCO,2023,36.035616438356165
SAN FRANCISCO,2024,34.75449101796407
SAN JOAQUIN,2020,62.467213114754095
SAN JOAQUIN,2021,58.92328767123288
SAN JOAQUIN,2022,54.49589041095891
SAN JOAQUIN,2023,51.465753424657535
SAN JOAQUIN,2024,53.80601092896175
SAN LUIS OBISPO,2020,60.31693989071038
SAN LUIS OBISPO,2021,55.463013698630135
SAN LUIS OBISPO,2022,56.635616438356166
SAN LUIS OBISPO,2023,52.172602739726024
SAN LUIS OBISPO,2024,53.64754098360656
SAN MATEO,2020,44.9344262295082
SAN MATEO,2021,38.92054794520548
SAN MATEO,2022,39.46849315068493
SAN MATEO,2023,30.258953168044076
SAN MATEO,2024,27.573667711598745
SANTA BARBARA,2020,51.724043715846996
SANTA BARBARA,2021,46.66575342465753
SANTA BARBARA,2022,48.583561643835615
SANTA BARBARA,2023,47.37808219178082
SANTA BARBARA,2024,49.16393442622951
SANTA CLARA,2020,55.967213114754095
SANTA CLARA,2021,53.80821917808219
SANTA CLARA,2022,51.295890410958904
SANTA CLARA,2023,46.56986301369863
SANTA CLARA,2024,45.94765840220386
SHASTA,2020,46.84699453551912
SHASTA,2021,59.04383561643836
SHASTA,2022,49.556164383561644
SHASTA,2023,52.23835616438356
SHASTA,2024,47.942622950819676
SISKIYOU,2020,48.677595628415304
SISKIYOU,2021,54.964285714285715
SISKIYOU,2022,44.58839779005525
SISKIYOU,2023,49.85753424657534
SISKIYOU,2024,43.49726775956284
SOLANO,2020,53.81967213114754
SOLANO,2021,47.64931506849315
SOLANO,2022,45.92602739726028
SOLANO,2023,42.97260273972603
SOLANO,2024,36.536986301369865
SONOMA,2020,41.35792349726776
SONOMA,2021,38.64931506849315
SONOMA,2022,37.4986301369863
SONOMA,2023,35.07123287671233
SONOMA,2024,21.58743169398907
STANISLAUS,2020,66.29234972677595
STANISLAUS,2021,69.23013698630137
STANISLAUS,2022,63.6986301369863
STANISLAUS,2023,58.69315068493151
STANISLAUS,2024,60.65300546448088
SUTTER,2020,61.27049180327869
SUTTER,2021,62.09065934065934
SUTTER,2022,56.30494505494506
SUTTER,2023,50.20661157024794
SUTTER,2024,51.74863387978142
TEHAMA,2020,56.83879781420765
TEHAMA,2021,58.26027397260274
TEHAMA,2022,48.47945205479452
TEHAMA,2023,47.202739726027396
TEHAMA,2024,45.10109289617486
TRINITY,2020,42.82798833819242
TRINITY,2021,80.8140243902439
TRINITY,2022,42.98583569405099
TRINITY,2023,38.09003215434084
TRINITY,2024,33.792717086834735
TULARE,2020,89.29234972677595
TULARE,2021,92.8054794520548
TULARE,2022,82.92876712328767
TULARE,2023,76.67945205479452
TULARE,2024,83.26502732240438
TUOLUMNE,2020,44.373937677053824
TUOLUMNE,2021,41.608333333333334
TUOLUMNE,2022,39.276
TUOLUMNE,2023,44.08620689655172
TUOLUMNE,2024,43.344632768361585
VENTURA,2020,56.89890710382514
VENTURA,2021,55.345205479452055
VENTURA,2022,55.47123287671233
VENTURA,2023,52.104109589041094
VENTURA,2024,55.35245901639344
YOLO,2020,54.69945355191257
YOLO,2021,47.394520547945206
YOLO,2022,44.06575342465754
YOLO,2023,46.61643835616438
YOLO,2024,47.74863387978142
